FishnetID,NAME
1,Baoshan
2,Jiading
3,Chongming
4,Songjiang
5,Pudong New
6,Jinshan
7,Chongming
8,Songjiang
9,Chongming
10,Jinshan
11,Pudong New
12,Songjiang
13,Fengxian
14,Jinshan
15,Pudong New
16,Jiading
17,Fengxian
18,Qingpu
19,Minhang
20,Pudong New
21,Chongming
22,Qingpu
23,Chongming
24,Pudong New
25,Qingpu
26,Chongming
27,Shanghai Proper
28,Songjiang
29,Pudong New
30,Songjiang
31,Baoshan
32,Pudong New
33,Chongming
34,Pudong New
35,Jinshan
36,Pudong New
37,Chongming
38,Baoshan
39,Jinshan
40,Jinshan
41,Songjiang
42,Pudong New
43,Chongming
44,Pudong New
45,Jinshan
46,Chongming
47,Fengxian
48,Fengxian
49,Chongming
50,Chongming
51,Jinshan
52,Jinshan
53,Fengxian
54,Chongming
55,Minhang
56,Pudong New
57,Chongming
58,Pudong New
59,Pudong New
60,Shanghai Proper
61,Chongming
62,Qingpu
63,Chongming
64,Baoshan
65,Shanghai Proper
66,Fengxian
67,Pudong New
68,Pudong New
69,Jinshan
70,Baoshan
71,Qingpu
72,Qingpu
73,Qingpu
74,Chongming
75,Pudong New
76,Songjiang
77,Fengxian
78,Chongming
79,Chongming
80,Fengxian
81,Pudong New
82,Jiading
83,Pudong New
84,Pudong New
85,Qingpu
86,Jiading
87,Fengxian
88,Qingpu
89,Jinshan
90,Pudong New
91,Chongming
92,Fengxian
93,Shanghai Proper
94,Chongming
95,Chongming
96,Pudong New
97,Pudong New
98,Fengxian
99,Chongming
100,Qingpu
101,Minhang
102,Songjiang
103,Chongming
104,Minhang
105,Jiading
106,Jinshan
107,Minhang
108,Songjiang
109,Jinshan
110,Minhang
111,Qingpu
112,Chongming
113,Fengxian
114,Pudong New
115,Fengxian
116,Qingpu
117,Pudong New
118,Fengxian
119,Pudong New
120,Chongming
121,Songjiang
122,Pudong New
123,Chongming
124,Pudong New
125,Chongming
126,Baoshan
127,Jiading
128,Pudong New
129,Fengxian
130,Shanghai Proper
131,Qingpu
132,Songjiang
133,Jiading
134,Songjiang
135,Pudong New
136,Jiading
137,Jiading
138,Pudong New
139,Chongming
140,Chongming
141,Fengxian
142,Qingpu
143,Jinshan
144,Pudong New
145,Chongming
146,Minhang
147,Chongming
148,Songjiang
149,Chongming
150,Songjiang
151,Jinshan
152,Songjiang
153,Baoshan
154,Fengxian
155,Minhang
156,Pudong New
157,Pudong New
158,Chongming
159,Shanghai Proper
160,Pudong New
161,Jinshan
162,Songjiang
163,Pudong New
164,Chongming
165,Jinshan
166,Chongming
167,Songjiang
168,Pudong New
169,Fengxian
170,Chongming
171,Pudong New
172,Jiading
173,Qingpu
174,Jinshan
175,Pudong New
176,Chongming
177,Songjiang
178,Fengxian
179,Jinshan
180,Fengxian
181,Chongming
182,Pudong New
183,Fengxian
184,Songjiang
185,Shanghai Proper
186,Baoshan
187,Qingpu
188,Qingpu
189,Jiading
190,Pudong New
191,Qingpu
192,Chongming
193,Chongming
194,Chongming
195,Jiading
196,Pudong New
197,Chongming
198,Minhang
199,Chongming
200,Pudong New
201,Pudong New
202,Jinshan
203,Pudong New
204,Chongming
205,Fengxian
206,Chongming
207,Baoshan
208,Jiading
209,Jinshan
210,Jiading
211,Shanghai Proper
212,Songjiang
213,Fengxian
214,Pudong New
215,Jiading
216,Songjiang
217,Chongming
218,Jinshan
219,Jinshan
220,Chongming
221,Jiading
222,Songjiang
223,Jiading
224,Jinshan
225,Baoshan
226,Pudong New
227,Jiading
228,Chongming
229,Jiading
230,Songjiang
231,Chongming
232,Chongming
233,Jinshan
234,Qingpu
235,Qingpu
236,Songjiang
237,Fengxian
238,Pudong New
239,Jiading
240,Pudong New
241,Songjiang
242,Baoshan
243,Pudong New
244,Pudong New
245,Qingpu
246,Fengxian
247,Minhang
248,Songjiang
249,Minhang
250,Jiading
251,Minhang
252,Pudong New
253,Fengxian
254,Baoshan
255,Jiading
256,Baoshan
257,Jiading
258,Chongming
259,Pudong New
260,Songjiang
261,Chongming
262,Chongming
263,Songjiang
264,Songjiang
265,Pudong New
266,Pudong New
267,Songjiang
268,Chongming
269,Songjiang
270,Jinshan
271,Songjiang
272,Qingpu
273,Jiading
274,Pudong New
275,Chongming
276,Jiading
277,Songjiang
278,Jinshan
279,Jinshan
280,Chongming
281,Minhang
282,Minhang
283,Jiading
284,Chongming
285,Jinshan
286,Chongming
287,Jinshan
288,Pudong New
289,Minhang
290,Jinshan
291,Minhang
292,Pudong New
293,Chongming
294,Baoshan
295,Chongming
296,Chongming
297,Minhang
298,Minhang
299,Chongming
300,Pudong New
301,Fengxian
302,Chongming
303,Qingpu
304,Pudong New
305,Jiading
306,Chongming
307,Minhang
308,Qingpu
309,Baoshan
310,Pudong New
311,Chongming
312,Fengxian
313,Fengxian
314,Chongming
315,Chongming
316,Chongming
317,Pudong New
318,Baoshan
319,Minhang
320,Chongming
321,Fengxian
322,Pudong New
323,Fengxian
324,Chongming
325,Fengxian
326,Jiading
327,Jiading
328,Fengxian
329,Baoshan
330,Qingpu
331,Pudong New
332,Songjiang
333,Pudong New
334,Chongming
335,Songjiang
336,Qingpu
337,Shanghai Proper
338,Jinshan
339,Qingpu
340,Shanghai Proper
341,Jiading
342,Qingpu
343,Songjiang
344,Pudong New
345,Songjiang
346,Baoshan
347,Fengxian
348,Chongming
349,Songjiang
350,Jinshan
351,Pudong New
352,Qingpu
353,Jiading
354,Jiading
355,Minhang
356,Minhang
357,Jiading
358,Songjiang
359,Chongming
360,Baoshan
361,Chongming
362,Songjiang
363,Pudong New
364,Jiading
365,Pudong New
366,Pudong New
367,Pudong New
368,Chongming
369,Chongming
370,Jinshan
371,Songjiang
372,Pudong New
373,Fengxian
374,Jiading
375,Baoshan
376,Pudong New
377,Jiading
378,Pudong New
379,Chongming
380,Pudong New
381,Qingpu
382,Minhang
383,Chongming
384,Jinshan
385,Qingpu
386,Pudong New
387,Jinshan
388,Shanghai Proper
389,Minhang
390,Songjiang
391,Pudong New
392,Jinshan
393,Chongming
394,Chongming
395,Pudong New
396,Fengxian
397,Jinshan
398,Shanghai Proper
399,Chongming
400,Jinshan
401,Pudong New
402,Jiading
403,Jiading
404,Jinshan
405,Jinshan
406,Shanghai Proper
407,Chongming
408,Jinshan
409,Jinshan
410,Chongming
411,Jiading
412,Songjiang
413,Jiading
414,Chongming
415,Chongming
416,Jiading
417,Pudong New
418,Songjiang
419,Qingpu
420,Chongming
421,Qingpu
422,Qingpu
423,Pudong New
424,Songjiang
425,Baoshan
426,Qingpu
427,Pudong New
428,Chongming
429,Qingpu
430,Baoshan
431,Minhang
432,Chongming
433,Pudong New
434,Songjiang
435,Chongming
436,Pudong New
437,Pudong New
438,Jinshan
439,Jinshan
440,Jiading
441,Jinshan
442,Qingpu
443,Qingpu
444,Fengxian
445,Chongming
446,Qingpu
447,Baoshan
448,Minhang
449,Songjiang
450,Pudong New
451,Songjiang
452,Fengxian
453,Chongming
454,Baoshan
455,Jiading
456,Pudong New
457,Chongming
458,Qingpu
459,Jinshan
460,Pudong New
461,Qingpu
462,Chongming
463,Baoshan
464,Jinshan
465,Qingpu
466,Songjiang
467,Jinshan
468,Songjiang
469,Jiading
470,Minhang
471,Pudong New
472,Jiading
473,Chongming
474,Pudong New
475,Jinshan
476,Minhang
477,Qingpu
478,Shanghai Proper
479,Minhang
480,Minhang
481,Pudong New
482,Minhang
483,Chongming
484,Fengxian
485,Pudong New
486,Jiading
487,Chongming
488,Pudong New
489,Qingpu
490,Pudong New
491,Fengxian
492,Pudong New
493,Pudong New
494,Qingpu
495,Jiading
496,Jiading
497,Minhang
498,Songjiang
499,Jiading
500,Fengxian
501,Fengxian
502,Chongming
503,Chongming
504,Qingpu
505,Fengxian
506,Songjiang
507,Baoshan
508,Pudong New
509,Pudong New
510,Fengxian
511,Pudong New
512,Qingpu
513,Qingpu
514,Pudong New
515,Jiading
516,Songjiang
517,Fengxian
518,Jiading
519,Fengxian
520,Pudong New
521,Pudong New
522,Qingpu
523,Minhang
524,Qingpu
525,Fengxian
526,Qingpu
527,Baoshan
528,Songjiang
529,Songjiang
530,Chongming
531,Pudong New
532,Fengxian
533,Shanghai Proper
534,Jiading
535,Qingpu
536,Minhang
537,Songjiang
538,Jinshan
539,Chongming
540,Minhang
541,Jiading
542,Jinshan
543,Pudong New
544,Qingpu
545,Pudong New
546,Chongming
547,Fengxian
548,Fengxian
549,Chongming
550,Songjiang
551,Chongming
552,Jinshan
553,Shanghai Proper
554,Baoshan
555,Songjiang
556,Pudong New
557,Songjiang
558,Jinshan
559,Chongming
560,Jinshan
561,Minhang
562,Pudong New
563,Minhang
564,Baoshan
565,Fengxian
566,Chongming
567,Pudong New
568,Qingpu
569,Pudong New
570,Chongming
571,Qingpu
572,Chongming
573,Qingpu
574,Jinshan
575,Baoshan
576,Fengxian
577,Chongming
578,Chongming
579,Minhang
580,Pudong New
581,Fengxian
582,Chongming
583,Pudong New
584,Pudong New
585,Chongming
586,Chongming
587,Qingpu
588,Chongming
589,Chongming
590,Songjiang
591,Minhang
592,Fengxian
593,Minhang
594,Chongming
595,Chongming
596,Fengxian
597,Qingpu
598,Fengxian
599,Chongming
600,Pudong New
601,Minhang
602,Jiading
603,Pudong New
604,Jiading
605,Chongming
606,Chongming
607,Pudong New
608,Chongming
609,Songjiang
610,Pudong New
611,Jiading
612,Pudong New
613,Jiading
614,Jiading
615,Pudong New
616,Qingpu
617,Chongming
618,Songjiang
619,Pudong New
620,Pudong New
621,Jiading
622,Pudong New
623,Chongming
624,Pudong New
625,Chongming
626,Pudong New
627,Songjiang
628,Qingpu
629,Songjiang
630,Chongming
631,Chongming
632,Jiading
633,Chongming
634,Fengxian
635,Pudong New
636,Fengxian
637,Pudong New
638,Chongming
639,Chongming
640,Chongming
641,Jiading
642,Jiading
643,Pudong New
644,Pudong New
645,Songjiang
646,Minhang
647,Baoshan
648,Fengxian
649,Baoshan
650,Qingpu
651,Songjiang
652,Chongming
653,Chongming
654,Chongming
655,Chongming
656,Baoshan
657,Chongming
658,Fengxian
659,Qingpu
660,Songjiang
661,Jinshan
662,Jiading
663,Pudong New
664,Shanghai Proper
665,Chongming
666,Chongming
667,Baoshan
668,Qingpu
669,Pudong New
670,Pudong New
671,Songjiang
672,Songjiang
673,Jiading
674,Chongming
675,Chongming
676,Jinshan
677,Chongming
678,Pudong New
679,Chongming
680,Qingpu
681,Chongming
682,Pudong New
683,Pudong New
684,Jiading
685,Jiading
686,Pudong New
687,Chongming
688,Shanghai Proper
689,Chongming
690,Shanghai Proper
691,Qingpu
692,Baoshan
693,Minhang
694,Chongming
695,Jinshan
696,Baoshan
697,Pudong New
698,Pudong New
699,Jiading
700,Pudong New
701,Chongming
702,Pudong New
703,Chongming
704,Jinshan
705,Songjiang
706,Chongming
707,Chongming
708,Minhang
709,Chongming
710,Fengxian
711,Chongming
712,Chongming
713,Chongming
714,Minhang
715,Jinshan
716,Pudong New
717,Minhang
718,Chongming
719,Chongming
720,Jinshan
721,Fengxian
722,Pudong New
723,Minhang
724,Baoshan
725,Minhang
726,Pudong New
727,Pudong New
728,Jinshan
729,Qingpu
730,Jiading
731,Fengxian
732,Qingpu
733,Chongming
734,Songjiang
735,Jiading
736,Chongming
737,Jinshan
738,Jiading
739,Chongming
740,Pudong New
741,Minhang
742,Chongming
743,Jiading
744,Chongming
745,Fengxian
746,Chongming
747,Qingpu
748,Fengxian
749,Chongming
750,Fengxian
751,Songjiang
752,Chongming
753,Qingpu
754,Minhang
755,Pudong New
756,Fengxian
757,Fengxian
758,Songjiang
759,Chongming
760,Baoshan
761,Pudong New
762,Jiading
763,Qingpu
764,Pudong New
765,Pudong New
766,Chongming
767,Jiading
768,Baoshan
769,Pudong New
770,Minhang
771,Chongming
772,Jiading
773,Qingpu
774,Pudong New
775,Jiading
776,Fengxian
777,Pudong New
778,Chongming
779,Songjiang
780,Baoshan
781,Songjiang
782,Pudong New
783,Qingpu
784,Songjiang
785,Pudong New
786,Fengxian
787,Jinshan
788,Jinshan
789,Chongming
