ID,Name_allTime,Name_night,Name_day,Name_peak,all_h,nightTime_h,dayTime_h,peakTime_h,GA_ID
3,Shanghai Proper,Shanghai Proper,Baoshan,Shanghai Proper,20.0,10.0,6.0,3.0,0
4,Baoshan,Baoshan,Baoshan,Baoshan,11.0,2.0,6.0,3.0,1
5,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,22.0,11.0,8.0,3.0,2
7,Pudong New,Jinshan,Pudong New,Pudong New,6.0,0.0,5.0,1.0,3
8,Jiading,Jiading,Jiading,Jiading,20.0,11.0,6.0,3.0,4
9,Baoshan,Baoshan,Baoshan,Baoshan,24.0,12.0,8.0,4.0,5
10,Baoshan,Jiading,Baoshan,Baoshan,14.0,3.0,8.0,3.0,6
11,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,13.0,2.0,7.0,4.0,7
15,Jiading,Jiading,Shanghai Proper,Jiading,24.0,12.0,8.0,4.0,8
17,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,21.0,10.0,7.0,4.0,9
19,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,20.0,10.0,7.0,3.0,10
21,Baoshan,Baoshan,Baoshan,Baoshan,23.0,11.0,8.0,4.0,11
22,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,12.0,4.0,6.0,2.0,12
29,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,13
32,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,7.0,4.0,14
33,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,7.0,4.0,15
34,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,5.0,0.0,5.0,1.0,16
36,Jiading,Jiading,Jiading,Jiading,22.0,12.0,7.0,4.0,17
38,Minhang,Minhang,Shanghai Proper,Minhang,23.0,12.0,8.0,4.0,18
41,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,18.0,8.0,7.0,3.0,19
47,Baoshan,Baoshan,Baoshan,Baoshan,24.0,12.0,8.0,4.0,20
48,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,12.0,2.0,7.0,2.0,21
49,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,20.0,10.0,6.0,4.0,22
50,Pudong New,Pudong New,Pudong New,Pudong New,17.0,8.0,6.0,3.0,23
51,Songjiang,Songjiang,Songjiang,Songjiang,21.0,10.0,8.0,4.0,24
52,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,14.0,6.0,6.0,2.0,25
54,Minhang,Minhang,Minhang,Minhang,22.0,11.0,7.0,4.0,26
55,Minhang,Minhang,Minhang,Minhang,21.0,11.0,6.0,3.0,27
62,Shanghai Proper,Minhang,Shanghai Proper,Shanghai Proper,16.0,7.0,7.0,3.0,28
65,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,9.0,0.0,6.0,2.0,29
66,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,11.0,1.0,7.0,3.0,30
67,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,21.0,10.0,7.0,4.0,31
72,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,7.0,4.0,32
73,Songjiang,Pudong New,Songjiang,Songjiang,10.0,1.0,7.0,2.0,33
77,Jiading,Jiading,Jiading,Jiading,22.0,12.0,7.0,4.0,34
80,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,15.0,8.0,5.0,2.0,35
87,Baoshan,Baoshan,Baoshan,Baoshan,22.0,10.0,8.0,4.0,36
93,Baoshan,Baoshan,Baoshan,Baoshan,24.0,12.0,8.0,4.0,37
94,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,21.0,10.0,8.0,3.0,38
95,Jiading,Jiading,Jiading,Jiading,24.0,12.0,8.0,4.0,39
100,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,11.0,8.0,4.0,40
109,Pudong New,Pudong New,Pudong New,Pudong New,23.0,12.0,7.0,3.0,41
111,Pudong New,Pudong New,Pudong New,Pudong New,23.0,12.0,7.0,4.0,42
115,Minhang,Minhang,Minhang,Minhang,16.0,4.0,8.0,4.0,43
117,Shanghai Proper,Minhang,Shanghai Proper,Shanghai Proper,9.0,0.0,7.0,2.0,44
118,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,5.0,0.0,4.0,1.0,45
121,Pudong New,Pudong New,Pudong New,Pudong New,18.0,8.0,7.0,3.0,46
124,Minhang,Minhang,Minhang,Minhang,4.0,0.0,2.0,1.0,47
125,Minhang,Minhang,Minhang,Minhang,23.0,12.0,8.0,4.0,48
126,Baoshan,Baoshan,Shanghai Proper,Baoshan,24.0,12.0,8.0,4.0,49
129,Minhang,Minhang,Shanghai Proper,Minhang,21.0,12.0,6.0,4.0,50
133,Qingpu,Qingpu,Qingpu,Qingpu,16.0,8.0,5.0,3.0,51
146,Baoshan,Baoshan,Baoshan,Baoshan,22.0,11.0,7.0,4.0,52
147,Baoshan,Baoshan,Baoshan,Baoshan,23.0,12.0,8.0,4.0,53
148,Pudong New,Pudong New,Pudong New,Pudong New,18.0,8.0,6.0,3.0,54
150,Baoshan,Baoshan,Baoshan,Baoshan,19.0,10.0,6.0,3.0,55
152,Minhang,Minhang,Shanghai Proper,Minhang,22.0,11.0,7.0,4.0,56
155,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,57
163,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,15.0,7.0,6.0,3.0,58
